Stock Name,ROE,YOY Earnings (Quarterly),Dept to Equtity Ratio,,,
General Motors Company (GM),21.96%,-70.7%,192.01,N/A,,
Alphabet Inc. (GOOG),15.02%,8.3%,2.83,41.34,,
Google Class A (GOOGL),15.02%,8.3%,2.83,43.04,,
Genuine Parts Company (GPC),21.29%,1.4%,31.71,22.35,,
Global Payments Inc. (GPN),N/A,-37.2%,177.22,36.62,,
"The Gap, Inc. (GPS)",24.81%,2.8%,45.21,80.82,,
Garmin Ltd. (GRMN),15.11%,3.2%,N/A,43.20,,
"The Goldman Sachs Group, Inc. (GS)",N/A,98.7%,431.7,84.62,,
The Goodyear Tire & Rubber Company (GT),28.96%,N/A,115.96,53.02,,
"W.W. Grainger, Inc. (GWW)",29.16%,-6.4%,119.45,42.84,,
Halliburton Company (HAL),-30.69%,N/A,121.36,50.83,,
"Harman International Industries, Incorporated (HAR)",N/A,N/A,N/A,72.26,,
"Hasbro, Inc. (HAS)",29.71%,9.7%,91.28,36.77,,
Huntington Bancshares Incorporated (HBAN),8.42%,34%,N/A,83.11,,
Hanesbrands Inc. (HBI),42.96%,31.8%,305.78,49.39,,
"HCA Holdings, Inc. (HCA)",N/A,-5.2%,N/A,35.87,,
Welltower Inc. (HCN),6.97%,134.1%,78.82,35.02,,
"HCP, Inc. (HCP)",4.77%,N/A,154.75,33.36,,
"The Home Depot, Inc. (HD)",149.44%,18.6%,544.68,32.68,,
Hess Corporation (HES),-33.76%,N/A,43.65,45.3,,
"The Hartford Financial Services Group, Inc. (HIG)",5.19%,N/A,29.89,29.14,,
"Harley-Davidson, Inc. (HOG)",32.32%,-25.6%,349.71,52.29,,
"Hologic, Inc. (HOLX)",15.13%,1.9%,149.1,41.08,,
Honeywell International Inc. (HON),25.33%,-13.4%,80.69,28.27,,
"Helmerich & Payne, Inc. (HP)",-2.22%,N/A,10.99,52.66,,
Hewlett Packard Enterprise Company (HPE),10%,0%,50.01,61.77,,
HP Inc. (HPQ),N/A,3.2%,N/A,71.71,,
"H&R Block, Inc. (HRB)",N/A,N/A,N/A,36.94,,
Hormel Foods Corporation (HRL),20.38%,0%,5.46,22.15,,
Harris Corporation (HRS),10.17%,N/A,139.33,50.6,,
"Henry Schein, Inc. (HSIC)",16.27%,7.1%,35.76,25.15,,
"Host Hotels & Resorts, Inc. (HST)",10.68%,-22.7%,50.69,41.33,,
The Hershey Company (HSY),76.8%,-45.2%,360.06,32.1,,
Humana Inc. (HUM),5.84%,N/A,40.28,55.77,,
International Business Machines Corporation (IBM),69.31%,-13.1%,231.9,28.27,,
"Intercontinental Exchange, Inc. (ICE)",9.45%,-4.9%,40.3,28.72,,
"IDEXX Laboratories, Inc. (IDXX)",N/A,18.1%,N/A,100.05,,
International Flavors & Fragrances Inc. (IFF),25.11%,0.9%,81.25,26.94,,
"Illumina, Inc. (ILMN)",29.41%,316.4%,40.37,58.73,,
Incyte Corporation (INCY),35.29%,-83.9%,155.31,124.2,,
Intel Corporation (INTC),17.55%,44.9%,38.52,30.34,,
Intuit Inc. (INTU),110.94%,-45.8%,146.5,27.53,,
International Paper Company (IP),21.94%,22.5%,259.55,50,,
"The Interpublic Group of Companies, Inc. (IPG)",27.72%,22%,73.19,16.94,,
Ingersoll-Rand Plc (IR),23.18%,-14.9%,60.58,52.59,,
Iron Mountain Incorporated (IRM),8.25%,757.8%,313.91,34.96,,
"Intuitive Surgical, Inc. (ISRG)",17.56%,31.8%,N/A,39.45,,
Illinois Tool Works Inc. (ITW),43.27%,14.5%,175.1,45.26,,
Invesco Ltd. (IVZ),10.36%,12.2%,82.39,45.4,,
"J.B. Hunt Transport Services, Inc. (JBHT)",32.7%,2.6%,69.27,35.23,,
Johnson Controls International plc (JCI),-3.37%,-26.9%,64.46,28.26,,
Jacobs Engineering Group Inc. (JEC),5.3%,30.1%,9.43,34.54,,
Johnson & Johnson (JNJ),N/A,-0.8%,39.06,18,,
"Juniper Networks, Inc. (JNPR)",12.64%,19%,42.53,46.24,,
JPMorgan Chase & Co. (JPM),10.14%,16.8%,N/A,64.73,,
"Nordstrom, Inc. (JWN)",40.67%,11.7%,318.85,79.43,,
Kellogg Company (K),34.2%,N/A,403.27,26.93,,
KeyCorp (KEY),7.12%,72.3%,N/A,91.28,,
The Kraft Heinz Company (KHC),5.88%,46.4%,56.28,22.69,,
Kimco Realty Corporation (KIM),7.18%,-79.4%,92.29,70.85,,
KLA-Tencor Corporation (KLAC),129.8%,56.5%,308.69,55.83,,
Kimberly-Clark Corporation (KMB),2826.75%,51.7%,6521.37,24.77,,
"Kinder Morgan, Inc. (KMI)",2.41%,39.7%,112.79,38.88,,
CarMax Inc. (KMX),20.85%,8.2%,391.5,53.37,,
The Coca-Cola Company (KO),25.9%,-20.3%,205.7,15.37,,
Michael Kors Holdings Limited (KORS),39.36%,-7.9%,7.97,52.61,,
The Kroger Co. (KR),28.98%,-9.5%,209.91,34.22,,
Kohl's Corporation (KSS),10.42%,-14.5%,89.07,74.99,,
Kansas City Southern (KSU),11.9%,36%,57.19,27.38,,
Loews Corporation (L),3.1%,N/A,46.14,25.88,,
"L Brands, Inc. (LB)",N/A,-0.6%,N/A,85.11,,
"Leggett & Platt, Incorporated (LEG)",33.5%,1.4%,87.73,24.88,,
Lennar Corporation (LEN),11.94%,-73.6%,95.99,35.56,,
Laboratory Corporation of America Holdings (LH),14.03%,20%,104.5,22.69,,
LKQ Corporation (LKQ),13.91%,-9.2%,97.15,30.52,,
"L3 Technologies, Inc. (LLL)",14.6%,N/A,72.19,35.93,,
Linear Technology Corporation (LLTC),N/A,N/A,N/A,51.77,,
Eli Lilly and Company (LLY),N/A,N/A,73.19,35.12,,
Lockheed Martin Corporation (LMT),159.6%,N/A,889.29,21.07,,
Lincoln National Corporation (LNC),8.48%,-31.8%,45.34,107.85,,
Alliant Energy Corporation (LNT),9.36%,83.9%,112.37,17.52,,
"Lowe's Companies, Inc. (LOW)",43.91%,5927.3%,244,32.96,,
Lam Research Corporation (LRCX),23%,300.6%,39.76,110.42,,
Leucadia National Corporation (LUK),1.8%,144.1%,172.25,76.55,,
Southwest Airlines Co. (LUV),28.41%,-2.6%,40.54,68.49,,
"Level 3 Communications, Inc. (LVLT)",6.43%,-92.5%,99.7,39.56,,
LyondellBasell Industries N.V. (LYB),60.84%,-4%,148.21,39.85,,
"Macy's, Inc. (M)",N/A,N/A,N/A,92.66,,
Mastercard Incorporated (MA),69.11%,4.8%,91.13,38.15,,
"Mid-America Apartment Communities, Inc. (MAA)",4.58%,-8.4%,67.86,29.36,,
The Macerich Company (MAC),11.68%,-91.1%,112.17,63.65,,
"Marriott International, Inc. (MAR)",88.29%,20.8%,158.78,70.23,,
Masco Corporation (MAS),4520%,28.4%,N/A,29.10,,
"Mattel, Inc. (MAT)",12.62%,-19.2%,96.62,58.89,,
McDonald's Corporation (MCD),N/A,8%,N/A,31.88,,
Microchip Technology Incorporated (MCHP),4.31%,75.1%,121.7,70.71,,
McKesson Corporation (MCK),21.66%,-0.2%,99.56,74.13,,
Moody's Corporation (MCO),N/A,N/A,N/A,37.45,,
"Mondelez International, Inc. (MDLZ)",6.26%,N/A,68.36,14.57,,
Medtronic plc (MDT),7.9%,-25%,65.03,28.72,,
"MetLife, Inc. (MET)",1.18%,N/A,91.69,60.6,,
"Mohawk Industries, Inc. (MHK)",17.47%,22%,43.25,37.32,,
Mead Johnson Nutrition Company (MJN),N/A,31.1%,N/A,36.32,,
"McCormick & Company, Incorporated (MKC)",27.32%,0.1%,97.9,21.66,,
"Martin Marietta Materials, Inc. (MLM)",10.37%,18.8%,40.7,46.25,,
"Marsh & McLennan Companies, Inc. (MMC)",27.89%,16.3%,76.64,21.16,,
3M Company (MMM),44.76%,3.8%,106.08,22.51,,
Mallinckrodt Public Limited Company (MNK),4.09%,N/A,123.43,106.47,,
Monster Beverage Corporation (MNST),17.51%,24.7%,N/A,36.56,,
"Altria Group, Inc. (MO)",N/A,N/A,N/A,25.85,,
Monsanto Company (MON),39.07%,28.7%,165.12,21.17,,
The Mosaic Company (MOS),3.14%,-92.3%,39.68,50.9,,
Marathon Petroleum Corporation (MPC),5.93%,21.4%,49.86,70.49,,
"Merck & Co., Inc. (MRK)",9.27%,N/A,61.7,24.65,,
Marathon Oil Corporation (MRO),-11.86%,N/A,41.47,59.21,,
Morgan Stanley (MS),N/A,70.2%,358.65,104.8,,
Microsoft Corporation (MSFT),23.04%,3.6%,127.61,45.14,,
"Motorola Solutions, Inc. (MSI)",N/A,N/A,N/A,39.72,,
M&T Bank Corporation (MTB),8.39%,16.9%,N/A,60.79,,
Mettler-Toledo International Inc. (MTD),75.71%,11.7%,205.55,64.86,,
"Micron Technology, Inc. (MU)",4.86%,N/A,82.28,217.43,,
Murphy Oil Corporation (MUR),-5.36%,N/A,60.87,46.44,,
Mylan N.V. (MYL),4.6%,114.5%,139.17,50,,
Navient Corporation (NAVI),15.66%,-51.1%,3043.19,63.03,,
"Noble Energy, Inc. (NBL)",-9.87%,N/A,73.69,43.01,,
"Nasdaq, Inc. (NDAQ)",1.96%,N/A,66.35,18.52,,
"NextEra Energy, Inc. (NEE)",15.74%,142.4%,127.94,22.93,,
Newmont Mining Corporation (NEM),-6.04%,N/A,38.87,52.6,,
"Netflix, Inc. (NFLX)",7.61%,54.6%,125.54,90.65,,
Newfield Exploration Company (NFX),-106.17%,N/A,259.17,51.52,,
NiSource Inc. (NI),8.29%,49.5%,195.25,27.26,,
"NIKE, Inc. (NKE)",32.6%,20.1%,27.52,23.1,,
Nielsen Holdings plc (NLSN),10.61%,-29%,194.95,46.02,,
Northrop Grumman Corporation (NOC),40.86%,15.1%,127.02,22.79,,
"National Oilwell Varco, Inc. (NOV)",-15.86%,N/A,22.95,46.46,,
"NRG Energy, Inc. (NRG)",-17.37%,N/A,429.96,93.8,,
Norfolk Southern Corporation (NSC),13.56%,15.2%,84.55,58.77,,
"NetApp, Inc. (NTAP)",10.72%,-4.6%,74.76,89.63,,
Northern Trust Corporation (NTRS),11.18%,11.4%,N/A,50.51,,
Nucor Corporation (NUE),14.23%,404.4%,51.82,51.75,,
NVIDIA Corporation (NVDA),32.57%,214.4%,48.4,234.44,,
Newell Brands Inc. (NWL),8%,N/A,104.66,27.68,,
News Corporation (NWS),-2%,N/A,3.16,39.63,,
News Corporation (NWSA),-2%,N/A,3.16,39.28,,
Realty Income Corporation (O),4.8%,26.5%,72.67,37.12,,
"ONEOK, Inc. (OKE)",20.72%,254.7%,275.71,51.63,,
Omnicom Group Inc. (OMC),N/A,10.7%,174.64,18.58,,
Oracle Corporation (ORCL),18.32%,4.5%,105.77,24.91,,
"O'Reilly Automotive, Inc. (ORLY)",57.84%,12.6%,115.97,22.47,,
Occidental Petroleum Corporation (OXY),-4.37%,N/A,45.68,37.2,,
"Paychex, Inc. (PAYX)",42.44%,12.3%,2.92,23.37,,
"People's United Financial, Inc. (PBCT)",5.79%,12.6%,N/A,45.87,,
PACCAR Inc (PCAR),7.61%,-16.8%,125.73,45.57,,
PG&E Corporation (PCG),7.95%,416.4%,101.53,21.1,,
The Priceline Group Inc. (PCLN),N/A,N/A,N/A,67.86,,
"Patterson Companies, Inc. (PDCO)",12.96%,-56.5%,87.77,38.23,,
Public Service Enterprise Group Incorporated (PEG),6.77%,N/A,89.74,19.17,,
"Pepsico, Inc. (PEP)",59.03%,41.6%,330.89,16.36,,
Pfizer Inc. (PFE),11.58%,N/A,70.58,25.34,,
"Principal Financial Group, Inc. (PFG)",13.72%,25.4%,33.19,72.68,,
The Procter & Gamble Company (PG),16.86%,145.6%,54.83,15.85,,
The Progressive Corporation (PGR),13.06%,16%,37.3,34.05,,
Parker-Hannifin Corporation (PH),18.87%,31.9%,71.4,68.11,,
"PulteGroup, Inc. (PHM)",12.95%,9.9%,70.19,38.96,,
"PerkinElmer, Inc. (PKI)",10.12%,-5%,48.59,38.74,,
"Prologis, Inc. (PLD)",7.01%,268.5%,57.47,21.77,,
Philip Morris International Inc. (PM),N/A,37%,N/A,33.24,,
"The PNC Financial Services Group, Inc. (PNC)",8.92%,14.4%,N/A,70.32,,
Pentair plc (PNR),10.41%,-18.2%,103.54,28.31,,
Pinnacle West Capital Corporation (PNW),9.56%,29.5%,87.6,23.56,,
"PPG Industries, Inc. (PPG)",11.03%,-3.7%,83.64,26.61,,
PPL Corporation (PPL),19.19%,16.5%,195.55,24.44,,
Perrigo Company plc (PRGO),N/A,N/A,68.07,69.54,,
"Prudential Financial, Inc. (PRU)",10.04%,-61.4%,72.17,72.23,,
Public Storage (PSA),15.67%,13.8%,4.14,32.48,,
Phillips 66 (PSX),6.9%,-74.9%,42.73,20.63,,
PVH Corp. (PVH),11.73%,-25%,66.92,39.78,,
,6.23%,N/A,10.8,79.72,,
"Praxair, Inc. (PX)",27.65%,9.3%,156.79,22.25,,
Pioneer Natural Resources Company (PXD),-5.92%,N/A,30.86,36.79,,
"PayPal Holdings, Inc. (PYPL)",9.84%,6.3%,N/A,46.47,,
